temperature,humidity
30.85,59.92
26.68,68.22
20.43,61.38
26.71,64.8
33.63,50.64
29.37,68.22
30.05,66.75
23.28,66.27
29.9,51.62
32.44,70.17
23.32,65.78
30.53,66.27
23.8,68.71
30.39,67.24
31.21,64.8
29.61,55.04
34.03,84.82
20.54,64.31
30.83,65.29
39.39,37.95
29.78,53.08
38.58,39.9
20.58,64.8
31.2,65.78
32.06,90.19
30.42,66.27
28.44,75.05
27.27,69.68
27.25,76.03
25.27,70.17
20.6,62.85
23.47,72.13
22.9,79.94
23.93,75.54
20.39,97.52
20.61,63.82
20.6,64.31
17.07,99.96
20.58,63.82
19.77,90.19
21.61,87.75
21.36,87.75
16.91,99.96
20.74,88.24
21.31,96.05
21.44,82.38
20.5,90.19
21.02,97.03
18.01,97.52
20.84,90.68
22.67,90.19
17.45,99.96
22.87,90.68
18.44,98.98
20.54,61.87
22.08,92.63
19.05,94.1
16.96,99.96
22.86,82.38
19.24,96.05
25.5,54.06
17.02,99.96
21.66,85.8
22.86,80.43
26.52,91.17
24.88,69.68
24.91,67.73
20.58,62.36
24.85,68.22
24.97,77.01
25.62,96.05
25.56,69.68
23.88,64.8
28.06,91.17
30.86,59.92
29.75,63.34
30.54,56.5
31.35,55.04
28.29,61.38
30.86,56.99
31.75,55.52
34.73,79.45
31.13,60.41
33.44,56.01
33.89,43.32
36.12,50.64
33.71,44.78
31.67,51.13
37.97,44.78
37.1,48.69
36.17,47.71
43.26,38.43
40.52,36.48
20.55,60.89
34.24,58.94
32.31,54.55
28.32,72.61
28.63,68.22
27.73,76.03
26.23,72.13
25.02,78.47
18.81,99.96
22.18,97.03
20.66,67.24
21.54,99.96
22.13,95.56
23.33,90.68
17.15,99.96
22.7,94.1
16.86,99.96
20.59,99.96
20.47,63.34
21.13,98.98
16.75,99.96
19.02,99.96
17.44,99.96
20.07,99.96
17.44,99.96
21.97,93.61
20.48,61.38
15.96,99.96
17.09,99.96
17.44,99.96
21.94,94.59
22.48,79.94
25.4,67.73
16.02,99.96
21.97,94.59
20.99,99.96
22.27,84.82
23.2,77.5
19.07,98.98
25.08,64.31
20.51,62.85
19.96,99.96
21.49,89.7
25.18,63.34
22.59,85.31
23.4,93.12
23.58,87.75
25.5,71.15
29.57,66.27
28.88,76.03
25.58,79.94
26.81,78.96
29.36,55.04
26.06,64.31
28.85,62.36
26.44,64.31
26.18,73.1
30.46,57.96
30.87,63.34
31.3,60.89
32.06,82.87
28.75,61.38
29.87,56.99
31.55,84.82
30.2,54.55
37.4,77.5
34.06,61.87
33.64,48.69
32.96,65.78
32.9,48.69
35.68,54.55
37.79,35.02
35.96,76.03
32.49,66.75
36.77,39.9
33.27,45.27
37.85,39.9
34.27,43.8
19.8,70.66
19.4,73.59
19.23,73.59
21.89,60.41
18.31,80.91
18.25,78.47
16.18,78.96
18.14,82.38
17.47,78.96
17.81,77.5
19.89,61.38
16.81,82.87
17.2,78.96
17.33,79.94
15.14,82.38
17.39,81.4
16.55,82.38
17,83.36
16.47,84.33
17.14,89.21
19.76,61.38
14.04,88.24
16.69,87.75
14.06,89.21
19.73,61.87
16.17,85.8
16.07,85.8
17.21,87.26
13.68,90.68
16.11,87.26
16.26,84.33
15.3,89.21
16.49,89.7
16.36,89.21
15.06,90.68
15.15,86.77
16.36,92.14
14.02,93.12
14.1,93.12
14.09,93.12
15.31,89.21
15.91,92.14
14,93.12
14.5,95.56
14.34,90.68
16.82,89.7
15.49,88.73
18.34,81.4
19.81,62.36
26.11,68.71
24.32,62.85
21.28,74.57
33.14,50.15
21.61,76.03
32.21,50.64
22.29,74.08
23.18,66.75
19.95,63.34
33.2,52.11
32.26,47.22
31.45,55.52
31.37,52.59
31.73,58.94
32.88,46.73
34,51.13
