Time,x,y,z
2025-03-03T11:37:01.524251,0.49,-0.18,0.67
2025-03-03T11:37:01.952232,-0.61,-0.12,0.49
2025-03-03T11:37:02.353671,0.12,-0.18,0.61
2025-03-03T11:37:02.757160,0.12,-0.18,0.61
2025-03-03T11:37:03.126202,0.12,-0.18,0.61
2025-03-03T11:37:03.591667,0.37,-0.12,0.67
2025-03-03T11:37:03.961234,0.43,-0.18,0.67
2025-03-03T11:37:04.361227,160.28,24.78,38.94
2025-03-03T11:37:04.756288,51.64,25.02,2.38
2025-03-03T11:37:05.188375,-1189.03,-199.4,-77.39
2025-03-03T11:37:05.558957,389.04,62.68,-32.23
2025-03-03T11:37:05.961973,682.86,144.71,-68.97
2025-03-03T11:37:06.356787,-707.28,42.11,-25.21
2025-03-03T11:37:06.811717,-283.45,-130.92,-155.7
2025-03-03T11:37:07.211461,-360.6,-117.98,-147.34
2025-03-03T11:37:07.578745,149.66,13.67,-10.44
2025-03-03T11:37:07.954721,100.89,-29.85,-74.52
2025-03-03T11:37:08.372742,204.96,56.95,33.08
2025-03-03T11:37:08.787702,416.87,216.67,84.29
2025-03-03T11:37:09.252345,509.52,495.06,33.02
2025-03-03T11:37:09.681110,258.42,-19.84,87.4
2025-03-03T11:37:10.593886,-163.15,-67.63,-71.53
2025-03-03T11:37:10.961273,-51.64,-26.79,28.14
2025-03-03T11:37:11.354945,-42.42,-50.11,25.7
2025-03-03T11:37:11.768068,54.14,-16.3,-1.28
2025-03-03T11:37:12.154161,-418.21,-91.06,-14.83
2025-03-03T11:37:12.554845,-90.82,-18.8,-7.81
2025-03-03T11:37:12.924632,-3.97,-1.1,0.55
2025-03-03T11:37:13.309412,-1.53,-0.79,1.16
2025-03-03T11:37:13.671274,-3.54,-1.22,1.1
2025-03-03T11:37:14.056194,-2.69,-0.79,0.67
2025-03-03T11:37:14.493180,-1.46,-0.67,0.79
2025-03-03T11:37:14.854716,-2.14,-0.67,0.24
2025-03-03T11:37:15.224792,-1.4,-0.61,0.73
2025-03-03T11:37:15.606006,-1.22,-0.49,0.55
2025-03-03T11:37:16.000404,-2.62,-0.55,0.06
2025-03-03T11:37:16.403680,-2.62,-0.37,0.24
2025-03-03T11:37:16.797394,-4.52,-0.61,0.0
2025-03-03T11:37:17.160596,-0.31,-0.18,0.55
2025-03-03T11:37:17.524327,0.12,-0.24,0.31
2025-03-03T11:37:17.886599,0.92,-0.37,0.92
2025-03-03T11:37:18.260057,1.59,-0.18,1.1
2025-03-03T11:37:18.607604,0.79,-0.49,0.85
2025-03-03T11:37:18.979941,0.92,-0.31,0.73
2025-03-03T11:37:19.361915,1.71,-0.24,1.1
2025-03-03T11:37:19.764476,0.24,-0.31,0.67
2025-03-03T11:37:20.121088,-1.4,-0.24,0.31
2025-03-03T11:37:20.529439,0.37,-0.18,0.79
2025-03-03T11:37:20.958233,0.37,-0.18,0.67
2025-03-03T11:37:21.362443,0.43,-0.18,0.73
2025-03-03T11:37:21.764637,0.79,-0.43,0.85
2025-03-03T11:37:22.121328,0.18,-0.31,0.67
2025-03-03T11:37:22.470458,0.24,-0.18,0.61
2025-03-03T11:37:22.830063,0.06,-0.31,0.61
2025-03-03T11:37:23.226262,0.12,-0.18,0.67
2025-03-03T11:37:23.592304,-0.55,-0.18,0.61
